序号,学科,代码
232,SOCIAL WORK 社会工作,WY
233,SOCIOLOGY 社会学,XA
234,SOIL SCIENCE 土壤科学,XE
235,SPECTROSCOPY 光谱学,XQ
236,SPORT SCIENCES 运动科学,XW
237,STATISTICS & PROBABILITY 统计学与概率论,XY
238,SUBSTANCE ABUSE 药物滥用,GM
239,SURGERY 外科,YA
240,TELECOMMUNICATIONS 电信学,YE
241,THEATER 戏剧,YG
242,THERMODYNAMICS 热力学,DT
243,TOXICOLOGY 毒理学,YO
244,TRANSPLANTATION 移植,YP
245,TRANSPORTATION SCIENCE & TECHNOLOGY 运输科技,YR
246,TRANSPORTATION 交通运输,YQ
247,TROPICAL MEDICINE 热带医学,YU
248,URBAN STUDIES 城市研究,YY
249,UROLOGY & NEPHROLOGY 泌尿学与肾脏学,ZA
250,VETERINARY SCIENCES 兽医学,ZC
251,VIROLOGY 病毒学,ZE
252,WATER RESOURCES 水资源,ZR
253,WOMENS STUDIES 女性研究,ZK
254,ZOOLOGY 动物学,ZM
